,PLZ,Ortsteil
178,14109,"Nikolassee,Wannsee"
179,14129,"Nikolassee,Zehlendorf"
180,14163,"Nikolassee,Zehlendorf"
181,14165,Zehlendorf
182,14167,"Lichterfelde,Zehlendorf"
183,14169,"Dahlem,Zehlendorf"
184,14193,"Dahlem,Grunewald,Nikolassee,Schmargendorf"
185,14195,"Dahlem,Schmargendorf,Wilmersdorf"
186,14197,Wilmersdorf
187,14199,"Grunewald,Schmargendorf,Wilmersdorf"
