,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
53,Blankenburg,52.594035303178444,13.461721998139904,Syrtaki,52.59282626707126,13.45481458980235,Greek Restaurant
54,Blankenburg,52.594035303178444,13.461721998139904,Shell,52.59669754,13.46649848,Gas Station
55,Blankenburg,52.594035303178444,13.461721998139904,Kaffee-Haus Madlen,52.593037155451476,13.457036553644249,Café
56,Blankenfelde,52.62420135210748,13.399163190389348,Kurfürstandamm,52.621357,13.395339,Clothing Store
57,Bohnsdorf,52.40193265894668,13.567802121892331,Café im Alexianer Krankenhaus,52.405963,13.569545,Café
58,Bohnsdorf,52.40193265894668,13.567802121892331,Pizzeria Dolce Vita,52.40488269999999,13.573246899999958,Italian Restaurant
59,Borsigwalde,52.58473613801057,13.307061538638767,Louis GIGAStore,52.584992979412405,13.312871026229864,Motorcycle Shop
60,Borsigwalde,52.58473613801057,13.307061538638767,Kartland,52.58573367416962,13.307964039672523,Go Kart Track
61,Borsigwalde,52.58473613801057,13.307061538638767,Jump House Trampolin Park,52.58300421145711,13.311909098123069,Athletics & Sports
62,Borsigwalde,52.58473613801057,13.307061538638767,Ducati Berlin,52.5849773881013,13.31367642035339,Motorcycle Shop
63,Borsigwalde,52.58473613801057,13.307061538638767,Eilert´s Schleckermäulchen,52.583886355762075,13.302233219146729,Bakery
64,Borsigwalde,52.58473613801057,13.307061538638767,Dänisches Bettenlager,52.58560450287988,13.313894388479975,Furniture / Home Store
65,Britz,52.443998485242204,13.435511574402996,Gutshof Britz,52.445876449313396,13.438178168605491,Historic Site
66,Britz,52.443998485242204,13.435511574402996,Schloss Britz,52.44696009959221,13.437808156013489,Palace
67,Britz,52.443998485242204,13.435511574402996,Buchholz Gutshof Britz,52.44632193465145,13.438158367638424,German Restaurant
68,Britz,52.443998485242204,13.435511574402996,Museum Neukölln,52.44599882989592,13.437813520431519,History Museum
69,Britz,52.443998485242204,13.435511574402996,REWE,52.44027720318299,13.433981829786262,Liquor Store
70,Britz,52.443998485242204,13.435511574402996,Backshop Britzer Damm,52.44514695386723,13.433670887275571,Bakery
71,Britz,52.443998485242204,13.435511574402996,Royal Gourmet,52.443278,13.431137,Chinese Restaurant
72,Britz,52.443998485242204,13.435511574402996,Restaurant & Hotel Schloss Britz,52.4467835414247,13.437765240669249,Hotel
73,Britz,52.443998485242204,13.435511574402996,Buckower Damm/ Gutschmidtstraße,52.440670013427734,13.434561729431152,Bus Stop
74,Britz,52.443998485242204,13.435511574402996,Schlosspark Britz,52.44699933464444,13.43853235244751,Park
75,Britz,52.443998485242204,13.435511574402996,Britzer Kirchteich,52.44746,13.436654,Lake
76,Britz,52.443998485242204,13.435511574402996,Kaiser's,52.43992128775476,13.434219474803344,Supermarket
77,Buch,52.647545566285785,13.474536245371363,Grillplatz Bucher Forst,52.647642,13.479891,Forest
78,Buckow,52.419115004512626,13.427557230906716,Lidl,52.4148284,13.4258312,Supermarket
79,Buckow,52.419115004512626,13.427557230906716,Mr. Pizza,52.420938868945086,13.42624777579026,Pizza Place
80,Buckow,52.419115004512626,13.427557230906716,ALDI NORD,52.41897103863395,13.42208353451846,Supermarket
81,Charlottenburg,52.5155497549019,13.30970869308101,Trattoria Rathaus Piazza,52.51677774365783,13.308748105084467,Trattoria/Osteria
82,Charlottenburg,52.5155497549019,13.30970869308101,Deutsche Oper Berlin,52.5120878812058,13.308354020118713,Opera House
83,Charlottenburg,52.5155497549019,13.30970869308101,Zur Mieze - Katzenmusikcafé,52.515899,13.304765,Pet Café
84,Charlottenburg,52.5155497549019,13.30970869308101,Postbank Finanzcenter,52.51582073254157,13.31240764661771,Bank
85,Charlottenburg,52.5155497549019,13.30970869308101,Rogacki,52.51283919402255,13.305050087951296,Gourmet Shop
86,Charlottenburg,52.5155497549019,13.30970869308101,"Falafel, Schawarma & Halloumi",52.5125145470448,13.305099464337676,Falafel Restaurant
87,Charlottenburg,52.5155497549019,13.30970869308101,Lindner,52.513159519507646,13.3049422249805,Gourmet Shop
88,Charlottenburg,52.5155497549019,13.30970869308101,Alt-Lietzow Platz,52.51681495986897,13.314436948623596,Plaza
89,Charlottenburg,52.5155497549019,13.30970869308101,Genki Sushi,52.514541264691175,13.304827067886682,Sushi Restaurant
90,Charlottenburg,52.5155497549019,13.30970869308101,Wilhelm Hoeck 1892,52.513985,13.305006,Pub
91,Charlottenburg,52.5155497549019,13.30970869308101,China-Restaurant Lotos House,52.51217276469756,13.31218957901001,Chinese Restaurant
92,Charlottenburg,52.5155497549019,13.30970869308101,Leonardo Hotel Berlin,52.51279180739886,13.30476432567244,Hotel
93,Charlottenburg,52.5155497549019,13.30970869308101,Curry Station 36,52.514946338401884,13.315115281199617,Fast Food Restaurant
94,Charlottenburg,52.5155497549019,13.30970869308101,Laufladen Lunge,52.511663461287625,13.312929868698118,Sporting Goods Shop
95,Charlottenburg,52.5155497549019,13.30970869308101,Crispy Döner,52.512,13.307591,Doner Restaurant
96,Charlottenburg,52.5155497549019,13.30970869308101,Exclusive Coffee,52.513408849631595,13.305343609541598,Café
97,Charlottenburg,52.5155497549019,13.30970869308101,Stadtbad Charlottenburg - Neue Halle,52.5158111955018,13.3123661896745,Pool
98,Charlottenburg,52.5155497549019,13.30970869308101,Hutzelmann,52.51528069348672,13.304572105407715,Bakery
99,Charlottenburg,52.5155497549019,13.30970869308101,Rossmann,52.51666745168685,13.309558079119974,Drugstore
100,Charlottenburg,52.5155497549019,13.30970869308101,Rosati,52.51144145538995,13.307747840881348,Italian Restaurant
101,Charlottenburg,52.5155497549019,13.30970869308101,Do Long,52.51334149348079,13.304938355614079,Vietnamese Restaurant
102,Charlottenburg,52.5155497549019,13.30970869308101,Steinofen Pizza,52.51240857946598,13.305084132506853,Pizza Place
103,Charlottenburg,52.5155497549019,13.30970869308101,Taverna Elena,52.51496883578349,13.302944800342402,Taverna
104,Charlottenburg,52.5155497549019,13.30970869308101,China Bistro Tu Long,52.51427226517844,13.316556744914106,Chinese Restaurant
105,Charlottenburg,52.5155497549019,13.30970869308101,Café con amore,52.51571905790991,13.3028089578205,Café
106,Charlottenburg,52.5155497549019,13.30970869308101,Bat Viet,52.51236864905278,13.30495834350586,Asian Restaurant
107,Charlottenburg,52.5155497549019,13.30970869308101,Goodmans Living,52.51213717567902,13.30504215657787,Boarding House
108,Charlottenburg,52.5155497549019,13.30970869308101,Ninhao China Restaurant,52.51197911443559,13.311966386801304,Chinese Restaurant
109,Charlottenburg,52.5155497549019,13.30970869308101,EDEKA Otto-Suhr-Allee,52.51693406,13.3071315,Supermarket
110,Charlottenburg,52.5155497549019,13.30970869308101,Pizza Napoli,52.513252443593636,13.30490534828626,Pizza Place
