,PLZ,Ortsteil
260,13581,Spandau
261,13581,Staaken
262,13583,Spandau
263,13585,Spandau
264,13587,Hakenfelde
265,13587,Spandau
266,13589,Spandau
267,13591,Spandau
268,13591,Staaken
269,13593,Spandau
270,13593,Staaken
271,13595,Pichelsdorf
272,13595,Spandau
273,13597,Charlottenburg
274,13597,Pichelsdorf
275,13599,Haselhorst
276,13599,Siemensstadt
277,13599,Spandau
278,13599,Tegel
279,13627,Charlottenburg
280,13627,Siemensstadt
281,13629,Charlottenburg
282,13629,Berlin-Siemensstadt
283,13629,Berlin-Siemensstadt
284,14050,Charlottenburg
285,14052,Charlottenburg
286,14053,Charlottenburg
287,14055,Charlottenburg
288,14055,Grunewald
289,14055,Wilmersdorf
290,14057,Charlottenburg
291,14059,Charlottenburg
292,14089,Gatow (Kladow)
293,14109,Nikolassee
294,14109,Wannsee
295,14129,Nikolassee
296,14129,Zehlendorf
297,14163,Nikolassee
298,14163,Zehlendorf
299,14165,Zehlendorf
300,14167,Lichterfelde
301,14167,Zehlendorf
302,14169,Dahlem
303,14169,Zehlendorf
304,14193,Dahlem
305,14193,Grunewald
306,14193,Nikolassee
307,14193,Schmargendorf
308,14195,Dahlem
309,14195,Schmargendorf
310,14195,Wilmersdorf
311,14197,Wilmersdorf
312,14199,Grunewald
313,14199,Schmargendorf
314,14199,Wilmersdorf
